School,Conference,Total number of transfers,Team wins,Team losses,Average transfer rating,Total points
Duke,ACC,4,35,4,93.67,25.38
NC State,ACC,4,12,19,92,25.17
Louisville,ACC,13,27,8,90.45,24.66
Miami,ACC,6,7,24,91.25,24.31
California,ACC,10,14,19,88.88,23.9
Virginia,ACC,5,15,17,90.25,23.26
Wake Forest,ACC,5,21,11,90.25,22.95
North Carolina,ACC,3,23,14,94,22.42
Syracuse,ACC,4,14,19,90.5,22.08
Georgia Tech,ACC,4,17,17,89.33,21.79
SMU,ACC,7,24,11,89.75,21.26
Virginia Tech,ACC,5,13,19,88.2,19.86
Boston College,ACC,4,12,19,87.5,18.81
Clemson,ACC,4,27,7,87.67,18.46
Pittsburgh,ACC,2,17,15,90,17.59
Stanford,ACC,4,21,14,90,17.33
Notre Dame,ACC,3,15,18,89,10.35
Florida State,ACC,3,17,15,89,10.35
Kansas,Big 12,6,21,13,92.4,29.69
West Virginia,Big 12,8,19,13,90.25,29.18
Kansas State,Big 12,8,16,17,91.25,27.99
Texas Tech,Big 12,4,28,9,92,26.37
Baylor,Big 12,3,20,15,96.5,25.74
Cincinnati,Big 12,3,19,16,92.33,24.88
TCU,Big 12,6,16,16,90.5,24.36
Arizona,Big 12,3,24,13,92.67,23.89
Utah,Big 12,7,16,17,90,22.74
UCF ,Big 12,6,20,17,89.75,22.18
Iowa State,Big 12,4,25,10,89.75,21.78
Arizona State,Big 12,5,13,20,89.2,21.23
Oklahoma State,Big 12,7,17,18,88.6,20.07
Houston,Big 12,1,35,5,94,13.9
Colorado,Big 12,3,14,21,91,11.71
BYU,Big 12,2,26,10,90,11.02
St. John's,Big East,4,31,5,93.75,29.51
Georgetown,Big East,4,18,16,91.5,25.22
Seton Hall,Big East,8,7,25,90,24.3
Providence,Big East,4,12,20,91.5,23.93
Xavier,Big East,7,22,12,90.33,23.87
UCONN,Big East,2,24,11,94.5,23.25
Villanova,Big East,5,21,15,88.33,22.12
Depaul ,Big East,11,14,20,87.89,21.26
Creighton ,Big East,2,25,11,91.5,19.79
Butler,Big East,3,15,20,88.5,15.85
Marquette,Big East,0,23,11,0,0
Indiana,Big Ten,6,19,13,93.4,30.47
Washington,Big Ten,8,13,18,91,28.33
UCLA,Big Ten,6,23,11,92.5,28.12
Michigan,Big Ten,6,27,10,93.17,28.11
Ohio State ,Big Ten,5,17,15,92.5,26.82
USC,Big Ten,11,17,18,90.7,26.65
Illinois,Big Ten,5,22,13,91.8,26.59
Oregon ,Big Ten,5,25,10,91.5,24.91
Maryland,Big Ten,5,27,9,90.75,23.9
Penn State,Big Ten,4,16,15,89.75,22.46
Wisconsin,Big Ten,3,27,10,90.67,21.87
Nebraska ,Big Ten,6,21,14,89.2,21.23
Rutgers,Big Ten,4,15,17,88.33,19.15
Minnesota ,Big Ten,6,15,17,87.33,16.96
Michigan State,Big Ten,2,30,7,93,13.15
Northwestern,Big Ten,2,17,16,87,9.13
Iowa,Big Ten,2,17,16,0,0
Purdue,Big Ten,0,24,12,0,0
Arkansas,SEC,5,22,14,95.4,30.78
Kentucky,SEC,9,24,12,93.33,29.29
Alabama,SEC,4,28,9,94,28.43
Missouri,SEC,5,22,12,93.25,27.58
Tennessee,SEC,4,30,8,93,27.52
Texas,SEC,6,19,16,91.5,27.32
Ole Miss,SEC,6,24,12,92.6,27.18
Vanderbilt,SEC,10,20,13,89.67,24.1
Florida,SEC,3,36,4,92.67,23.89
Georgia,SEC,5,20,13,90.2,23.6
Mississippi State,SEC,5,21,13,89.8,23.3
Texas A&M,SEC,3,23,11,91,22.9
Auburn,SEC,3,32,6,93.5,21.62
LSU,SEC,3,14,18,92,19.91
South Carolina,SEC,3,12,20,91,18.73
Oklahoma,SEC,6,20,14,89,18.65
